	lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
146	broad	английский	поле	field	широкая поверхность	размер		d	-
84	fat	английский	поле	field	широкая поверхность	размер		d	-
177	narrow	английский	поле	field	широкая поверхность	размер		d	-
115	slim	английский	поле	field	широкая поверхность	размер		d	-
270	spacious	английский	поле	field	широкая поверхность	размер		d	-
22	thick	английский	поле	field	широкая поверхность	размер		d	-
53	thin	английский	поле	field	широкая поверхность	размер		d	-
208	wide	английский	поле	field	широкая поверхность	размер		d	-
182	narrow	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	+
183	narrow	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	+
213	wide	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	+
214	wide	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	+
151	broad	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
152	broad	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
89	fat	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
90	fat	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
244	large	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
245	large	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
120	slim	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
121	slim	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
275	spacious	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
276	spacious	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
27	thick	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
28	thick	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
58	thin	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
59	thin	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
240	large	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	+
178	narrow	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	+
147	broad	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
85	fat	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
116	slim	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
271	spacious	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
23	thick	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
54	thin	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
209	wide	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
236	large	английский	доска	plank	широкие полосы	размер		d	+
237	large	английский	дорога	road	широкие полосы	размер		d	+
238	large	английский	окно	window	широкие полосы	размер		d	+
174	narrow	английский	доска	plank	широкие полосы	размер		d	+
175	narrow	английский	дорога	road	широкие полосы	размер		d	+
176	narrow	английский	окно	window	широкие полосы	размер		d	+
18	thick	английский	тесьма	braid	широкие полосы	размер		d	+
49	thin	английский	тесьма	braid	широкие полосы	размер		d	+
142	broad	английский	тесьма	braid	широкие полосы	размер		d	-
143	broad	английский	доска	plank	широкие полосы	размер		d	-
144	broad	английский	дорога	road	широкие полосы	размер		d	-
145	broad	английский	окно	window	широкие полосы	размер		d	-
80	fat	английский	тесьма	braid	широкие полосы	размер		d	-
81	fat	английский	доска	plank	широкие полосы	размер		d	-
82	fat	английский	дорога	road	широкие полосы	размер		d	-
83	fat	английский	окно	window	широкие полосы	размер		d	-
235	large	английский	тесьма	braid	широкие полосы	размер		d	-
173	narrow	английский	тесьма	braid	широкие полосы	размер		d	-
111	slim	английский	тесьма	braid	широкие полосы	размер		d	-
112	slim	английский	доска	plank	широкие полосы	размер		d	-
113	slim	английский	дорога	road	широкие полосы	размер		d	-
114	slim	английский	окно	window	широкие полосы	размер		d	-
266	spacious	английский	тесьма	braid	широкие полосы	размер		d	-
267	spacious	английский	доска	plank	широкие полосы	размер		d	-
268	spacious	английский	дорога	road	широкие полосы	размер		d	-
269	spacious	английский	окно	window	широкие полосы	размер		d	-
19	thick	английский	доска	plank	широкие полосы	размер		d	-
20	thick	английский	дорога	road	широкие полосы	размер		d	-
21	thick	английский	окно	window	широкие полосы	размер		d	-
50	thin	английский	доска	plank	широкие полосы	размер		d	-
51	thin	английский	дорога	road	широкие полосы	размер		d	-
52	thin	английский	окно	window	широкие полосы	размер		d	-
204	wide	английский	тесьма	braid	широкие полосы	размер		d	-
205	wide	английский	доска	plank	широкие полосы	размер		d	-
206	wide	английский	дорога	road	широкие полосы	размер		d	-
207	wide	английский	окно	window	широкие полосы	размер		d	-
241	large	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
179	narrow	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
180	narrow	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
211	wide	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
148	broad	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
149	broad	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
150	broad	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
86	fat	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
87	fat	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
88	fat	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
242	large	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
243	large	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
181	narrow	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
117	slim	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
118	slim	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
119	slim	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
272	spacious	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
273	spacious	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
274	spacious	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
24	thick	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
25	thick	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
26	thick	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
55	thin	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
56	thin	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
57	thin	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
210	wide	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
212	wide	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
